'Materia','Codigo'
'FORMULACION Y EVALUACION DE PROYECTOS (ADM813)','ADM813'
'FUNDAMENTOS DE CIENCIAS DE LA COMPUTACION (ICO204)','ICO204'
'LABORATORIO DE SISTEMAS DE CONTROL DISCRET (ICO612)','ICO612'
'LABORATORIO DE DISPOSITIVOS ELECTRÓNICOS (IEE452)','IEE452'
'LABORATORIO DE ANÁLISIS DE CIRCUITOS ELECTRICOS II(IEE472)','IEE472'
'CONVERSION ELECTROMECANICA DE ENERGIA (IEE484)','IEE484'
'LABORATORIO DE CONVERSION ELECTROMECANICA DE ENERGIA (IEE492)','IEE492'
'LABORATORIO DE CIRCUITOS ELECTRONICOS (IEE552)','IEE552'
'INSTALACIONES ELECTRICAS Y DE COMUNICACIONES (IEE573)','IEE573'
'PROGRAMACION CON HERRAMIENTAS VISUALES (IEE5C4)','IEE5C4'
'LABORATORIO DE INSTRUMENTACION ELECTRONICA (IEE622)','IEE622'
'LABORATORIO DE SISTEMAS MICROPROCESADOS (IEE642)','IEE642'
'LABORATORIO DE ELECTRONICA DE POTENCIA (IEE662)','IEE662'
'LABORATORIO DE SISTEMAS DE CONTROL AUTOMATICO (IEE682)','IEE682'
'LABORATORIO DISTRIBUCION ENERGIA ELECTRICA (IEE6M2)','IEE6M2'
'INTRODUCCION A SISTEMAS ELECTRICOS DE POTENCIA (IEE6N4)','IEE6N4'
'LABORATORIO DE INTRODUCCION A SISTEMAS ELECTRICOS DE POTENCI (IEE6O2)','IEE6O2'
'CENTRALES DE GENERACION DE ENERGIA ELECTRICA (IEE6P3)','IEE6P3'
'LABORATORIO DE ELECTRONICA DE ALTA FRECUENCIA (IEE6S2)','IEE6S2'
'LABORATORIO DE INSTRUMENTACION INDUSTRIAL (IEE722)','IEE722'
'LABORATORIO DE CONTROL CON MICROPROCESADORES (IEE742)','IEE742'
'LABORATORIO DE CONVERSORES ESTATICOS (IEE762)','IEE762'
'LABORATORIO DE SISTEMAS DE CONTROL DISCRETO (IEE782)','IEE782'
'INSTALACIONES INDUSTRIALES DE BAJO VOLTAJE (IEE793)','IEE793'
'LABORATORIO DE SISTEMAS ELECTRICOS DE POTENCIA (IEE7B2)','IEE7B2'
'LABORATORIO DE SISTEMAS ANALOGICO DIGITALES (IEE7G2)','IEE7G2'
'LABORATORIO DE REDES DE AREA EXTENDIDA (IEE7M1)','IEE7M1'
'SINTESIS DE PLANTAS Y PROCESOS INDUSTRIALES (IEE883)','IEE883'
'DISEÑO ELECTROMECANICO DE LINEAS DE TRANSMISION (IEE8F3)','IEE8F3'
'MARCO REGULATORIO DE LOS SERVICIOS DE TELECOMUNICACIONES (IEE8M3)','IEE8M3'
'CONFIABILIDAD DE SISTEMAS ELECTRICOS DE POTENCIA (IEE8U3)','IEE8U3'
'TECNICAS AVANZADAS DE PROCESAMIENTO DIGITAL DE SEÑALES (IEE8W3)','IEE8W3'
'OPERACION DE SISTEMAS ELECTRICOS DE POTENCIA (IEE9A3)','IEE9A3'
'SISTEMAS DE ADMINISTRACION DE ENERGIA ELECTRICA (IEE9E3)','IEE9E3'
'GESTION DE REDES DE TELECOMUNICACIONES (IEE9G3)','IEE9G3'
'LABORATORIO DE MECANICA DE MATERIALES II (MEC5B4L)','MEC5B4L'
'LABORATORIO DE CIENCIA DE MATERIALES II (MEC5C4L)','MEC5C4L'
'LABORATORIO DE MECANICA DE FLUIDOS II (MEC5G3L)','MEC5G3L'
'LABORATORIO DE ELECTRONICA INDUSTRIAL (MEC5H4L)','MEC5H4L'
'LABORATORIO DE DESGASTE Y FALLA DE MATERIALES (MEC6C4L)','MEC6C4L'
'LABORATORIO DE DINAMICA DE SISTEMAS (MEC6H5L)','MEC6H5L'
'SOLDADURA DE PRODUCCION Y MANTENIMIENTO (MEC7C4)','MEC7C4'
'LABORATORIO DE SOLDADURA DE PRODUCCION Y MANTENIMIENTO (MEC7C4L)','MEC7C4L'
'LABORATORIO DE TRANSFERENCIA DE CALOR II (MEC7F4L)','MEC7F4L'
'LABORATORIO DE MOTORES DE COMBUSTION INTERNA (MEC7G4L)','MEC7G4L'
'LABORATORIO DE SELECCION DE MATERIALES (MEC8B3L)','MEC8B3L'
'LABORATORIO DE ENSAYOS NO DESTRUCTIVOS (MEC8C4L)','MEC8C4L'
'APLICACIONES EN AMBIENTES PROPIETARIOS (SIC554)','SIC554'
'SEMILLEROS Y PROYECTOS PROFESIONALES (SIC664)','SIC664'
'ADMINISTRACION DE SISTEMAS OPERATIVOS Y REDES (SIC714)','SIC714'
'CERTIFICACION EN GERENCIA DE SEGURIDAD DE INFORMACION (SIC803)','SIC803'
'TALLER DE FORMULACION DE PROYECTOS DE TITULACION (SIC812)','SIC812'
'AUDITORIA Y EVALUACION DE SISTEMAS COMPUTACIONALES (SIC816)','SIC816'
'OPTATIVA DE FORMACION PROFESIONAL III (SIC824)','SIC824'
'GESTION DE TIC Y UNIDADES INFORMATICAS (SIC826)','SIC826'
'CCNA CISCO (CERTIFIED NETWORK ASSOCIATE) (SIC854)','SIC854'
'''CP-MULTIPROCESAMIENTO Y ARQUITECTURAS ALTERNATIVAS (ICCR443CP)''','''ICCR443CP'''
'''MULTIPROCESAMIENTO Y ARQUITECTURAS ALTERNATIVAS (ICCR443)''','''ICCR443'''
'''FUNDAMENTOS DE INGENIERIA DE SOFTWARE (ICCR544)''','''ICCR544'''
'''CP-VIRTUALIZACION Y CLOUD COMPUTING (ICCR703CP)''','''ICCR703CP'''
